Направление;Товар;Свойство;Строка в эталоне;Строка в проверяемом;Число в эталоне;Число в проверяемом;Дата в эталоне;Дата в проверяемом
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-4-1-2-2-2-5_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-1-2-3-2-1-2-2-5_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_3-1-2-4-1-3-1-2-2_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-1-1-1-2-2-1_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-4-1-2-2-2-5_2_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-1-2-4-1-1-2-2-6_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_3-1-1-3-1-1-2-2-5_3_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-4-1-1-2-2-5_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-3-1-3-1-2-2_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_2-1-1-3-1-1-3-1-5_1_ЖВ;;;14;15;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Иск_1-1-2-4-2-3-1-2_0_ЖВ;;;12;13;;
000->091;Пульмикорт, сусп. д/ингал.дозир 0.5мг/мл контейнер 2мл №20;Свойство для поднятия версии;;;4022019,01;28012019;;
000->091;Цефекон Д, супп. д/дет. 250мг №10;Свойство для поднятия версии;;;28122018,03;;;
000->091;Бандаж до-послеродовой Герда 9806 р.1 беж;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Иск_2-1-1-3-1-1-2-2-5_2_ЖВ;;;18;20;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Иск_2-1-1-1-1-1-2-2-1_1_ЖВ;;;21;23;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Иск_3-1-1-3-1-1-2-2-5_3_ЖВ;;;19;21;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Иск_2-1-1-4-1-1-2-2-5_1_ЖВ;;;19;21;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Иск_1-1-1-3-1-3-1-2-2_4_ЖВ;;;15;16;;
000->091;Флемоксин Солютаб, тбл дисп.250мг №20;Свойство для поднятия версии;;;4022019,01;1022019,55;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-1-1-1-1-3-1-2-1_1;;;66;74,5;;
000->091;Пропосол, аэр 50г__Россия;Иск_2-1-1-4-1-2-2-2-4_1;;;42;46;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-1-1-3-1-3-1-2-2_2;;;35;42;;
000->091;Пропосол, аэр 50г__Россия;Иск_5-5-3-5-3-4-4-4-8_2;;;49;59;;
000->091;Пропосол, аэр 50г__Россия;Иск_5-4-3-5-3-4-4-4-8_1;;;52;58;;
000->091;Пропосол, аэр 50г__Россия;Иск_5-4-3-5-3-4-4-4-8_2;;;50;60;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-2-1-3-1-4-3-1-7_5;;;45;55;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-2-1-3-1-4-3-1-7_6;;;50;62;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-2-1-3-1-4-3-1-7_9;;;54;57;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-2-1-3-1-4-3-1-7_10;;;50;54;;
000->091;Пропосол, аэр 50г__Россия;Иск_2-1-2-4-1-2-2-2-6_1;;;46;56;;
000->091;Пропосол, аэр 50г__Россия;Иск_3-1-1-2-2-2-2-2-4_1;;;46;54;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-1-2-3-2-1-2-2-5_1;;;59;74;;
000->091;Пропосол, аэр 50г__Россия;Иск_3-1-2-4-1-3-1-2-2_1;;;52;59;;
000->091;Пропосол, аэр 50г__Россия;Иск_2-1-1-3-1-1-2-2-5_2;;;33,5;36,5;;
000->091;Пропосол, аэр 50г__Россия;Иск_4-1-2-3-1-1-2-2-4_1;;;65;77;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-2-1-4-1-4-3-1-7_5;;;62;68;;
000->091;Пропосол, аэр 50г__Россия;Иск_2-1-1-4-1-2-2-2-5_2;;;50;55;;
000->091;Пропосол, аэр 50г__Россия;Иск_1-1-1-3-1-1-3-1-5_2;;;55;61;;
000->091;Пропосол, аэр 50г__Россия;Иск_3-1-1-3-1-1-2-2-5_3;;;64;87;;
000->091;Пропосол, аэр 50г__Россия;Иск_2-1-1-4-1-1-2-2-5_1;;;60;66;;
000->091;Пропосол, аэр 50г__Россия;Свойство для поднятия версии;;;4022019,01;28012019;;
000->091;Йодомарин 200, тбл 200мкг №50;Иск_1-2-2-3-1-1-3-1-7_1_ЖВ;;;20;18;;
000->091;Йодомарин 200, тбл 200мкг №50;Иск_1-2-1-3-1-4-3-1-7_4_ЖВ;;;22;19;;
000->091;Йодомарин 200, тбл 200мкг №50;Свойство для поднятия версии;;;28012019;30122018,01;;
000->091;Пантенол Фармстандарт, аэр д/наруж 5% 58г;Свойство для поднятия версии;;;28122018,03;;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Исключения 2-3-4-5-2-3-4-2-6;;;53;56,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-2-1-4-1-1-3-1-7_1;;;53;59,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-1-1-1-1-3-1-2-1_1;;;59;69;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-2-1-3-1-4-3-1-7_1;;;53;56;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_2-2-1-3-1-1-2-2-6_1;;;42;44,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_3-1-2-4-1-2-2-3-5_1;;;55;62;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_2-1-1-1-1-1-2-2-1_1;;;60;65,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-1-2-4-1-1-2-2-6_1;;;58;61,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_2-1-1-3-1-3-1-2-2_1;;;59;67,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_2-1-1-3-1-1-3-1-5_1;;;67;74;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-2-1-4-1-4-3-1-7_2_1;;;48;51,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Иск_1-1-3-5-4-3-3-3-2;;;35;37,5;;
000->091;Максиколд Рино, пор. д/р-ра внутрь 15г пак №10 апельсин;Свойство для поднятия версии;;;4022019,01;28012019;;
000->091;Тампоны О.В. прокомфорт нормал найт №16;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Тампоны О.В. прокомфорт супер №16;Свойство для поднятия версии;;;28122018,03;;;
000->091;Прокл, Котекс янг нормал сетч №10;Свойство для поднятия версии;;;28122018,03;10122018;;
000->091;МОЛИПАНЦ СОФТ ШТАНИШКИ Д'ФИКС.ПРОКЛ.P.S №1'ХАРТ;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Д/п Фрутоняня каша рисовая б/м 200г;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Д/п Фрутоняня малышам сок яблоко с мякотью 200мл;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;СОРБИТПИЩЕВОЙ ПОРОШОК 500,0;Свойство для поднятия версии;;;28122018,03;;;
000->091;БЕРУШИ ПРОТИВОШУМНЫЕ №4;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ЛЕЙКОПЛ.СИЛКОФИКС 5Х500СМ. ШЕЛК.ОСНОВА;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Бинт Пеха-Крепп 4м х 10см инд уп Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Бинт эласт Унга-СР 1х8см с застежкой С-306;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Повязка Бранолинд N с перуан бальз 10х20см №1 Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПОВЯЗКА КОСМОПОР ANTIBACT С СЕРЕБРОМ 15Х6 П'ОПЕРАЦ. №1 ХАРТ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПОВЯЗКА КОСМОПОР-Е 10Х8 П'ОПЕРАЦ. №10 ХАРТ;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;ПОВЯЗКА КОСМОПОР-Е 15Х6 П'ОПЕРАЦ.№1 ХАРТ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;САЛФЕТКА 2-Х СЛ.СТЕР 45Х29 №5;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Подгуз Хэппи макси плюс 9-20кг №12;Иск_1-1-1-3-1-3-1-2-2_3;;;25;;;
000->091;Подгуз Хаггис классик 11-25кг №11;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Подгуз Хаггис элит софт 2-5кг №27;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Авент, пакет д/стер в микровол печи №5 82970;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПЕРЧАТКИ ПЕХА-СОФТ НИТРИЛ.Н'С ДИАГ.НЕОПУДР.Р.L №50(100Ш)ХАРТ;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;ШАМПУНЬ ХЭД ЭНД ШОЛДЕРС 200МЛ УВЛАЖНЯЮЩИЙ УХОД;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ШАМПУНЬ ХЭД ЭНД ШОЛДЕРС 200МЛ ЯБЛОЧНАЯ СВЕЖЕСТЬ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ТЕСТ НА ОВУЛЯЦИЮ КЛИАБЛУ №7 ЦИФРОВОЙ;Свойство для поднятия версии;;;28122018,03;17122018;;
000->091;Термометр электронный Термовал стандарт Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Девясил корневища и корни, ф/пак 1.5г №20;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Лактацид фарма ср-во д/интим гигиены смягч 250мл;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПОВЯЗКА КОСМОПОР-Е 15Х9 П'ОПЕРАЦ.№10 ХАРТ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Прокл, Котекс ультра нормал №16;Свойство для поднятия версии;;;28122018,03;5;;
000->091;САЛФЕТКА 2-Х СЛ.СТЕР 45Х29 №5__АНАЛОГ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПЕРЧАТКИ ПЕХА-СОФТ GUARD НИТРИЛ.НЕОПУДР. Р.L №50'100ШТ' ХАРТ;Свойство для поднятия версии;;;28122018,03;5;;
000->091;БИОМОРОЖЕНОЕ СЛИВОЧНОЕ СЕМЕЙНЫЙ АКТИВ ГОРЬКИЙ ШОКОЛАД 450ГР;Свойство для поднятия версии;;;28122018,03;5;;
000->091;ПЕРЧАТКИ НЕОПУДР.ВИНИЛОВЫЕ Р.M;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Дезринит, спрей.наз. 50мкг/доза 140доз 18г;Иск_1-2-2-3-1-1-3-1-7_1_ЖВ;;;17;;;
000->091;Дезринит, спрей.наз. 50мкг/доза 140доз 18г;Иск_1-2-1-3-1-4-3-1-7_4_ЖВ;;;19;;;
000->091;Дезринит, спрей.наз. 50мкг/доза 140доз 18г;Иск_1-2-1-4-1-4-3-1-7_4_ЖВ;;;16;;;
000->091;Дезринит, спрей.наз. 50мкг/доза 140доз 18г;Свойство для поднятия версии;;;28012019;20012019,03;;
000->091;Перчатки Пеха-софт, нитрил фино н/стер р.S №5 (10шт) Харт;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Нафтизин, капли назальн 0.05% 20мл тюб-кап;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Ножницы д/разрез повязок горизонт/изогнут с пуговицей 185мм;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Кетопрофен-Тева, гель 2.5% 30г;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Ergoforma чулки антиварик коричневые 211 кк1 р.2;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Биомороженое бифилак форте к/мол б/сах ваниль 45г №7 порций;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Янумет Лонг, тбл пролонг п/п/о 50мг+1000мг №56;Иск_1-2-1-4-1-4-3-1-7_5;;;10;80;;
000->091;Янумет Лонг, тбл пролонг п/п/о 50мг+1000мг №56;Свойство для поднятия версии;;;28122018,03;17122018;;
000->091;Бетагистин-Медисорб, тбл 24мг №30;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Лампа солевая Амфора (2-3кг);Свойство для поднятия версии;;;28122018,03;5;;
000->091;Курапрокс ершики межзубные №5;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Курапрокс держатель д/ершиков односторонний;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Бинт эласт Клинса СР 10х1,5м застежка;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Де-криз, тбл 5мг+10мг №30;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Аппликатор Ляпко мячик игольчатый плюс шаг 4,0мм;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Фемикапс изи лайф, капс №120;Свойство для поднятия версии;;;28122018,03;5;;
000->091;Био-ойл гель д/сухой кожи 100мл;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Lubby, набор д/ухода расческа+щетка малышарики 0+ 20905;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Lubby, тарелка малышарики 4+ 200мл 20914;Свойство для поднятия версии;;;28122018,03;7122018;;
000->091;Lubby, тарелка just 6+ 20152;Свойство для поднятия версии;;;28122018,03;7122018;;
091->000;Пантенол Фармстандарт, аэр д/наруж 5% 58г;Фармгруппа1;;Ранозаживляющие;;;;
091->000;Тампоны О.В. прокомфорт супер №16;Фармгруппа1;;Гигиена женская (прокладки, тампоны);;;;
091->000;Тампоны О.В. прокомфорт супер №16;Иск_1-1-1-3-1-1-3-1-5_1;;;;35;;
091->000;Тампоны О.В. прокомфорт супер №16;Иск_1-2-1-4-1-4-3-1-7_2_1;;;;35;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Фармгруппа1;;НПВП,местноанестезирующие;;;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Исключения Эластичные 1ЖВ;;;;9;;
091->000;Подгуз Хаггис элит софт 2-5кг №27;Фармгруппа1;;Подгузники, пеленки, клеенки;;;;
091->000;Подгуз Хаггис элит софт 2-5кг №27;Исключения ЦО 2;;;;30;;
091->000;Подгуз Хаггис элит софт 2-5кг №27;Исключения Эластичные 1;;;;39;;
091->000;Подгуз Хаггис элит софт 2-5кг №27;Иск_1-1-3-5-4-3-3-3-2;;;;25;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Исключение 3-2-2-5-2-3-4-2-4 Ж;;;;14;;
091->000;Ножницы д/разрез повязок горизонт/изогнут с пуговицей 185мм;Фармгруппа1;;Изделия медназначения,ортопедия;;;;
091->000;Авент, пакет д/стер в микровол печи №5 82970;Фармгруппа1;;#Н/Д;;;;
091->000;Ergoforma чулки антиварик коричневые 211 кк1 р.2;Фармгруппа1;;Изделия медназначения,ортопедия;;;;
091->000;Лактацид фарма ср-во д/интим гигиены смягч 250мл;Фармгруппа1;;Интимная косметика;;;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Иск_1-1-1-3-1-1-3-1-5_1_ЖВ;;;;5;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Иск_2-1-1-4-1-2-2-2-4_1_ЖВ;;;;15;;
091->000;САЛФЕТКА 2-Х СЛ.СТЕР 45Х29 №5;Фармгруппа1;;#Н/Д;;;;
091->000;Лактацид фарма ср-во д/интим гигиены смягч 250мл;Исключения Эластичные 1;;;;39;;
091->000;Сантимин (вишня) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин (земляника) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин (малина) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин (манго) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин (персик) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин (черника) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин(апельсин) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин(клубника) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин(лесная ягода) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Сантимин(лимон) фиточай ф/п №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" апельс и мандар ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" апельсин ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" ваниль ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" вишня ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" земляникаф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" клубника ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" лесные ягоды ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" лимон ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" лотоса ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" малина ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" манго ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" черн. смородина ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" черника ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай "Похудей для здоровья людей" яблоко ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай Похудей , ф/пак №30;Группа скидки;;;;2;;
091->000;Чай Похудей Ананас, ф/пак №30;Группа скидки;;;;2;;
091->000;Чай Похудей Апельсин+Мандарин, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Апельсин, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Блэк, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Ваниль ф/п №30;Группа скидки;;;;2;;
091->000;Чай Похудей Вишневый, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей для здоровья людей роза ф/п 2г №30;Группа скидки;;;;2;;
091->000;Чай Похудей Земляничн., ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Капучино ф/п №30;Группа скидки;;;;2;;
091->000;Чай Похудей Клубничн., ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Лесная Ягода, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Лимонный, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Малиновый, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Манго, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Мандарин, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Мелисса, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей Персик, ф/пак. №30;Группа скидки;;;;2;;
091->000;Чай Похудей плюс стройная фигура, ф/пак 2г №24 Апельсин;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Апельсин;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Вишня;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Клубника;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Лесная ягода;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Лимон;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Малина;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 персик;Группа скидки;;;;2;;
091->000;Чай Сантимин, №30 Черника;Группа скидки;;;;2;;
091->000;Цефекон Д, супп. д/дет. 250мг №10;Иск_1-2-1-4-1-4-3-1-7_2_1_ЖВ;;;;5;;
091->000;Бинт Пеха-Крепп 4м х 10см инд уп Харт;Фармгруппа1;;#Н/Д;;;;
091->000;Бинт Пеха-Крепп 4м х 10см инд уп Харт;Иск_1-2-1-3-1-4-3-1-7_8;;;;33;;
091->000;Сантимин (вишня) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин (земляника) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин (малина) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин (манго) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин (персик) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин (черника) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин(апельсин) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин(клубника) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин(лесная ягода) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Сантимин(лимон) фиточай ф/п №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" апельс и мандар ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" апельсин ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" ваниль ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" вишня ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" земляникаф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" клубника ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" лесные ягоды ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" лимон ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" лотоса ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" малина ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" манго ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" черн. смородина ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" черника ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай "Похудей для здоровья людей" яблоко ф/п 2г №30;Рекламная акция;;Zavezu;;;;
091->000;Чай Похудей , ф/пак №30;Рекламная акция;;Zavezu;;;;
091->000;Чай Похудей Ананас, ф/пак №30;Рекламная акция;;Zavezu;;;;
091->000;Чай Похудей Апельсин+Мандарин, ф/пак. №30;Рекламная акция;;Zavezu;;;;
091->000;Чай Похудей Апельсин, ф/пак. №30;Рекламная акция;;Zavezu;;;;
